name,work,area,hourly pay,daily pay,monthly pay
Ahead,Construction,Aladakatti,40,280,7000
Bird Cycleworks,Security,Aladakatti,60,420,10500
AIRTAME,Coolie,Budingod,40,280,7000
Axtria,Coolie,Budingod,55,385,9625
Abazab,Farming,Aladakatti,50,350,8750
Adnavance Technologies,Cleaner,Aladakatti,40,280,7000
Appsco,Factory worker,Aladakatti,60,420,10500
Boca Research,Construction,Bandakeri,40,280,7000
AREVS,Construction,Budingod,55,385,9625
AIKO Biotechnology,Security,Bandakeri,40,280,7000
Authy,Farming,Aladakatti,50,350,8750
"Bad Juju Games, Inc.",Construction,Budingod,55,385,9625
Bathrooms.com,Factory worker,Aladakatti,60,420,10500
Advestigo,Construction,Aladakatti,60,420,10500
addwish,Farming,Aladakatti,45,315,7875
BrandBacker,Construction,Budingod,40,280,7000
Ally Home Care,Factory worker,Budingod,40,280,7000
Blink.com,Cleaner,Budingod,55,385,9625
Backdoor,Factory worker,Budingod,45,315,7875
Automation Alley,Farming,Bandakeri,40,280,7000
Appy Pie,Coolie,Bandakeri,55,385,9625
Bridge Software LLC,Cleaner,Aladakatti,55,385,9625
Accredible,Cleaner,Budingod,35,245,6125
Blue Nile,Coolie,Bandakeri,45,315,7875
Black Card Media,Farming,Budingod,60,420,10500
5k Fans,Coolie,Aladakatti,35,245,6125
Axxia Pharmaceuticals,Farming,Bandakeri,50,350,8750
2DOLife.com,Cleaner,Bandakeri,45,315,7875
Acquia,Construction,Aladakatti,60,420,10500
Bizware,Coolie,Aladakatti,50,350,8750
anfix,Farming,Aladakatti,55,385,9625
Bagaveev Corporation,Cleaner,Bandakeri,50,350,8750
AvidBiotics,Coolie,Budingod,35,245,6125
Ad Summos,Coolie,Budingod,50,350,8750
Alorica,Security,Aladakatti,55,385,9625
360incentives.com,Farming,Bandakeri,50,350,8750
Boreal Genomics,Factory worker,Aladakatti,60,420,10500
3Leaf,Coolie,Bandakeri,50,350,8750
Aria Innovations,Factory worker,Budingod,55,385,9625
Amba Defence,Factory worker,Budingod,55,385,9625
Apex Guard,Security,Budingod,45,315,7875
AgentBridge,Security,Aladakatti,45,315,7875
Battery Medics,Construction,Aladakatti,55,385,9625
Bi02 Medical,Coolie,Aladakatti,50,350,8750
3PointData,Cleaner,Budingod,60,420,10500
Atterley Road,Security,Aladakatti,45,315,7875
American Scientific Resources,Security,Budingod,35,245,6125
Apps Genius,Construction,Budingod,45,315,7875
Aria Systems,Coolie,Budingod,35,245,6125
American-Albanian Hemp Company,Cleaner,Bandakeri,45,315,7875
Big Fish,Farming,Budingod,60,420,10500
Audiosocket,Farming,Aladakatti,35,245,6125
AFrame Digital,Factory worker,Aladakatti,50,350,8750
BEAT BioTherapeutics,Farming,Budingod,35,245,6125
