permalink,name,homepage_url,category_list,market,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year,first_funding_at,last_funding_at
/organization/waywire,#waywire,http://www.waywire.com,|Entertainment|Politics|Social Media|News|, News , 1 750 000 ,acquired,USA,NY,New York City,New York,1,01/06/2012,2012-06,2012-Q2,2012,30/06/2012,30/06/2012
/organization/tv-communications,&TV Communications,http://enjoyandtv.com,|Games|,Games, 4 000 000 ,operating,USA,CA,Los Angeles,Los Angeles,2,,,,,04/06/2010,23/09/2010
/organization/rock-your-paper,'Rock' Your Paper,http://www.rockyourpaper.org,|Publishing|Education|,Publishing, 40 000 ,operating,EST,,Tallinn,Tallinn,1,26/10/2012,2012-10,2012-Q4,2012,09/08/2012,09/08/2012
/organization/in-touch-network,(In)Touch Network,http://www.InTouchNetwork.com,|Electronics|Guides|Coffee|Restaurants|Music|iPhone|Apps|Mobile|iOS|E-Commerce|,Electronics, 1 500 000 ,operating,GBR,,London,London,1,01/04/2011,2011-04,2011-Q2,2011,01/04/2011,01/04/2011
/organization/n-plusn,+n (PlusN),http://plusn.com,|Software|, Software , 1 200 000 ,operating,USA,NY,New York City,New York,2,01/01/2012,2012-01,2012-Q1,2012,29/08/2012,04/09/2014
/organization/r-ranch-and-mine,-R- Ranch and Mine,,|Entertainment|Games|,Games, 10 000 ,operating,USA,TX,Dallas,Fort Worth,1,08/07/2014,2014-07,2014-Q3,2014,17/08/2014,17/08/2014
/organization/club-domains,.Club Domains,http://nic.club/,|Software|, Software , 7 000 000 ,,USA,FL,Ft. Lauderdale,Oakland Park,1,10/10/2011,2011-10,2011-Q4,2011,31/05/2013,31/05/2013
/organization/fox-networks,.Fox Networks,http://www.dotfox.com,|Advertising|,Advertising, 4 912 393 ,closed,ARG,,Buenos Aires,Buenos Aires,1,,,,,16/01/2007,16/01/2007
/organization/0-6-com,0-6.com,http://www.0-6.com,|Curated Web|,Curated Web, 2 000 000 ,operating,,,,,1,01/01/2007,2007-01,2007-Q1,2007,19/03/2008,19/03/2008
/organization/004-technologies,004 Technologies,http://004gmbh.de/en/004-interact,|Software|, Software , -   ,operating,USA,IL,"Springfield, Illinois",Champaign,1,01/01/2010,2010-01,2010-Q1,2010,24/07/2014,24/07/2014
/organization/01games-technology,01Games Technology,http://www.01games.hk/,|Games|,Games, 41 250 ,operating,HKG,,Hong Kong,,1,,,,,01/07/2014,01/07/2014
/organization/0xdata,0xdata,http://www.0xdata.com,|Analytics|,Analytics, 10 600 000 ,operating,USA,CA,SF Bay Area,Mountain View,2,01/01/2011,2011-01,2011-Q1,2011,03/01/2013,19/07/2014
/organization/1-2-3-listo,"1,2,3 Listo",http://www.123listo.com,|E-Commerce|, E-Commerce , 40 000 ,operating,CHL,,Santiago,Las Condes,1,01/01/2012,2012-01,2012-Q1,2012,18/02/2013,18/02/2013
/organization/1-4-all,1-4 All,,|Entertainment|Games|Software|, Software , -   ,operating,USA,NC,NC - Other,Connellys Springs,1,,,,,21/04/2013,21/04/2013
/organization/1-800-dentist,1-800-DENTIST,http://www.1800dentist.com,|Health and Wellness|,Health and Wellness, -   ,operating,USA,CA,Los Angeles,Los Angeles,1,01/01/1986,1986-01,1986-Q1,1986,19/08/2010,19/08/2010
/organization/1-800-doctors,1-800-DOCTORS,http://1800doctors.com,|Health and Wellness|,Health and Wellness, 1 750 000 ,operating,USA,NJ,Newark,Iselin,1,01/01/1984,1984-01,1984-Q1,1984,02/03/2011,02/03/2011
/organization/1-618-technology,1.618 Technology,,|Real Estate|,Real Estate, -   ,operating,USA,FL,Orlando,Orlando,1,07/12/2013,2013-12,2013-Q4,2013,22/01/2014,22/01/2014
/organization/10-20-media,10-20 Media,http://www.10-20media.com,|E-Commerce|, E-Commerce , 2 050 000 ,operating,USA,MD,Baltimore,Woodbine,4,01/01/2001,2001-01,2001-Q1,2001,18/06/2009,28/12/2011
/organization/1000-corks,1000 Corks,http://1000corks.com,|Search|,Search, 40 000 ,operating,USA,OR,"Portland, Oregon",Lake Oswego,1,01/01/2008,2008-01,2008-Q1,2008,23/08/2011,23/08/2011
/organization/1000-markets,1000 Markets,http://www.1000markets.com,|Marketplaces|Art|E-Commerce|,Marketplaces, 500 000 ,acquired,,,,,1,01/01/2009,2009-01,2009-Q1,2009,15/05/2009,15/05/2009
/organization/1000jobboersen-de,1000jobboersen.de,http://www.1000jobboersen.de,|Curated Web|,Curated Web, -   ,operating,DEU,,Berlin,Berlin,1,,,,,16/09/2011,16/09/2011
